Splatoon,Philip Kollar,85,http://www.polygon.com/2015/5/27/8588969/splatoon-review-nintendo-wii-u,
The Witcher 3: Wild Hunt,Arthur Gies,80,http://www.polygon.com/game/the-witcher-3-wild-hunt/9333,
Wolfenstein: The Old Blood,Justin McElroy,70,http://www.polygon.com/2015/5/6/8561545/wolfenstein-the-old-blood-review-ps4-PC-xbox-one,
Mortal Kombat X,Michael McWhertor,85,http://www.polygon.com/2015/4/13/8364929/mortal-kombat-x-review-PS4-Xbox-One,
Broken Age,Justin McElroy,80,http://www.polygon.com/2014/1/15/5309804/broken-age-review,
Driveclub,Philip Kollar,75,http://www.polygon.com/2014/10/7/6570539/driveclub-review-ps4-playstation-4,
State of Decay,Arthur Gies,85,http://www.polygon.com/2013/6/5/4399636/state-of-decay-review-city-on-the-hill,
Sid Meier's Starships ,Charlie Hall,65,http://www.polygon.com/2015/4/17/8416749/sid-meiers-starships-review-PC-iOS,
Dark Souls 2,Philip Kollar,90,http://www.polygon.com/2014/3/11/5492096/dark-souls-2-review,
Xenoblade Chronicles,Megan Farokhmanesh,80,http://www.polygon.com/2015/4/14/8384931/xenoblade-chronicles-3d-review-hard-knock-life,
MLB 15 The Show,Samit Sarkar,90,http://www.polygon.com/2015/4/13/8384257/mlb-15-the-show-review-ps4,
Code Name: STEAM,Justin McElroy,60,http://www.polygon.com/2015/3/13/8212587/code-name-s-t-e-a-m-review-off-the-rails,
Titan Souls,Arthur Gies,65,http://www.polygon.com/2015/4/13/8398611/titan-souls-review-PC-PS4,
Mario Party 10 ,Griffin McElroy,65,http://www.polygon.com/2015/4/7/8365239/mario-party-10-review-wii-u,
Battlefield Hardline,Arthur Gies,70,http://www.polygon.com/2015/3/17/8209655/battlefield-hardline-review-xbox-one-PS4-playstation-4-PC,
Axiom Verge,Philip Kollar,70,http://www.polygon.com/2015/4/1/8206525/axiom-verge-review-ps4-playstation-4-vita,
Bloodborne,Michael McWhertor,90,http://www.polygon.com/2015/3/27/8209199/bloodborne-review-PS4-playstation-4-exclusive,
Hotline Miami 2: Wrong Number,Griffin McElroy,85,http://www.polygon.com/2015/3/10/8177615/hotline-miami-2-wrong-number-review-pc,
Elder Scrolls Online: Tamriel Unlimited,Leif Johnson,80,http://www.ign.com/articles/2015/06/10/the-elder-scrolls-online-tamriel-unlimited-review,
Heroes of the Storm,Mitch Dyer,65,http://www.ign.com/articles/2015/06/02/heroes-of-the-storm-review,
Magika 2,Vince Ingenito,77,http://www.ign.com/articles/2015/05/28/magicka-2-review,
Splatoon,Jose Otero,79,http://www.ign.com/articles/2015/05/27/splatoon-review,
Puzzle & Dragons Z + Puzzle & Dragons Super Mario Bros. Edition,Kallie Plagge,79,http://www.ign.com/articles/2015/05/19/puzzle-dragons-z-puzzle-dragons-super-mario-bros-edition-review,
The Witcher 3: Wild Hunt,Vince Ingenito,93,http://www.ign.com/articles/2015/05/12/the-witcher-3-the-wild-hunt-review,
Project Cars,Luke Reily,89,http://www.ign.com/articles/2015/05/06/project-cars-review,
Mortal Kombat X,Vince Ingenito,84,http://www.ign.com/articles/2015/04/13/mortal-kombat-x-review,
Axiom Verge,Mary Sliva,79,http://www.ign.com/articles/2015/03/30/axiom-verge-review,
The Witcher 3: Wild Hunt,Andrew Fitch,95,http://www.egmnow.com/articles/reviews/the-witcher-3-wild-hunt-review/,
The Witcher 3: Wild Hunt,Christopher Gates,90,http://gamerant.com/witcher-3-wild-hunt-reviews/,
The Witcher 3: Wild Hunt,Brendan Griffiths,80,http://www.dealspwn.com/the-witcher-3-review-215731,
The Witcher 3: Wild Hunt,Kevin VanOrd,100,http://www.gamespot.com/reviews/the-witcher-3-wild-hunt-review/1900-6416135/,
Splatoon,Mollie L Patterson,80,http://www.egmnow.com/articles/reviews/splatoon-review/,
Splatoon,Alonza Searer,95,http://gamegravy.com/review/splatoon/,
Splatoon,Sean Engemann,72,http://www.cheatcc.com/wiiu/rev/splatoonreview.html,